state,year,month,api
Pahang,2018,6,23.86486486
Pahang,2018,7,31.5483871
Pahang,2018,8,46.75806452
Pahang,2018,9,53.79583333
Pahang,2018,10,39.41935484
Pahang,2018,11,31.23333333
Pahang,2018,12,27.60215054
Pahang,2019,1,40.23655914
Pahang,2019,2,44.31696429
Pahang,2019,3,54.12634409
Pahang,2019,4,51.64027778
Pahang,2019,5,50.78360215
Pahang,2019,6,49.81944444
Pahang,2019,7,57.85674931
Pahang,2019,8,71.92204301
Pahang,2019,9,80.7625
Pahang,2019,10,41.84543011
Pahang,2019,11,34.93888889
Pahang,2019,12,34.05645161
Pahang,2020,1,36.47177419
Pahang,2020,2,40.58045977
Pahang,2020,3,39.53763441
Pahang,2020,4,34.65277778
Pahang,2020,5,36.38709677
Pahang,2020,6,43.78442281
Pahang,2020,7,39.15188172
Pahang,2020,8,48.02822581
Pahang,2020,9,45.99272198
Pahang,2020,10,49.3938172
Pahang,2020,11,28.52638889
Pahang,2020,12,33.75806452
Pahang,2021,1,34.94086022
Pahang,2021,2,46.29166667
Pahang,2021,3,35.12096774
Pahang,2021,4,42.73888889
Pahang,2021,5,37.05510753
Pahang,2021,6,46.32361111
Pahang,2021,7,48.45026882
Pahang,2021,8,43.68548387
Pahang,2021,9,38.95138889
